ID;name;slug;lat;lng;codice_provincia_istat;codice_comune_istat;codice_alfanumerico_istat;capoluogo_provincia;capoluogo_regione
581;Frassino;frassino;445.727;72.772;4;92;4092;0;0
582;Gaiola;gaiola;443.362;74.081;4;93;4093;0;0
583;Gambasca;gambasca;446.299;73.484;4;94;4094;0;0
584;Garessio;garessio;442.062;80.153;4;95;4095;0;0
585;Genola;genola;445.896;76.654;4;96;4096;0;0
586;Gorzegno;gorzegno;445.124;81.346;4;97;4097;0;0
587;Gottasecca;gottasecca;444.614;81.684;4;98;4098;0;0
588;Govone;govone;448.051;80.951;4;99;4099;0;0
589;Grinzane Cavour;grinzane-cavour;446.566;79.817;4;100;4100;0;0
590;Guarene;guarene;447.407;80.341;4;101;4101;0;0
591;Igliano;igliano;444.438;80.137;4;102;4102;0;0
592;Isasca;isasca;445.874;73.809;4;103;4103;0;0
593;Lagnasco;lagnasco;446.261;75.559;4;104;4104;0;0
594;La Morra;la-morra;446.396;79.338;4;105;4105;0;0
595;Lequio Berria;lequio-berria;446.075;80.981;4;106;4106;0;0
596;Lequio Tanaro;lequio-tanaro;445.601;78.847;4;107;4107;0;0
597;Lesegno;lesegno;444.017;79.656;4;108;4108;0;0
598;Levice;levice;445.388;81.562;4;109;4109;0;0
599;Limone Piemonte;limone-piemonte;442.014;75.762;4;110;4110;0;0
600;Lisio;lisio;443.078;79.785;4;111;4111;0;0
601;Macra;macra;445.013;71.806;4;112;4112;0;0
602;Magliano Alfieri;magliano-alfieri;447.703;80.713;4;113;4113;0;0
603;Magliano Alpi;magliano-alpi;444.606;78.064;4;114;4114;0;0
604;Mango;mango;446.867;81.518;4;115;4115;0;0
605;Manta;manta;446.169;74.881;4;116;4116;0;0
606;Marene;marene;446.627;77.335;4;117;4117;0;0
607;Margarita;margarita;444.046;76.861;4;118;4118;0;0
608;Marmora;marmora;444.581;70.935;4;119;4119;0;0
609;Marsaglia;marsaglia;447.128;93.831;4;120;4120;0;0
610;Martiniana Po;martiniana-po;446.274;73.673;4;121;4121;0;0
611;Melle;melle;445.627;73.214;4;122;4122;0;0
612;Moiola;moiola;443.225;73.902;4;123;4123;0;0
613;Mombarcaro;mombarcaro;444.682;80.867;4;124;4124;0;0
614;Mombasiglio;mombasiglio;443.677;79.691;4;125;4125;0;0
615;Monastero di Vasco;monastero-di-vasco;443.408;78.228;4;126;4126;0;0
616;Monasterolo Casotto;monasterolo-casotto;443.255;79.455;4;127;4127;0;0
617;Monasterolo di Savigliano;monasterolo-di-savigliano;446.874;76.206;4;128;4128;0;0
618;Monchiero;monchiero;445.729;79.171;4;129;4129;0;0
619;Mondovì;mondovi;443.896;78.206;4;130;4130;0;0
620;Monesiglio;monesiglio;444.657;81.189;4;131;4131;0;0
621;Monforte d'Alba;monforte-dalba;445.831;79.678;4;132;4132;0;0
622;Montà;monta;448.147;79.585;4;133;4133;0;0
623;Montaldo di Mondovì;montaldo-di-mondovi;443.195;78.653;4;134;4134;0;0
624;Montaldo Roero;montaldo-roero;447.694;79.259;4;135;4135;0;0
625;Montanera;montanera;444.633;76.667;4;136;4136;0;0
626;Montelupo Albese;montelupo-albese;44.622;80.479;4;137;4137;0;0
627;Montemale di Cuneo;montemale-di-cuneo;444.373;73.749;4;138;4138;0;0
628;Monterosso Grana;monterosso-grana;444.092;73.241;4;139;4139;0;0
